[2023-12-01 18:06:24,402][root][INFO] - FL_Task - {"dataset": "Cifar100", "start_execution_time": "2023-12-01 18:06:24"}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 0, "data_size": 294}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 1, "data_size": 298}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 2, "data_size": 289}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 3, "data_size": 312}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 4, "data_size": 302}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 5, "data_size": 300}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 6, "data_size": 284}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 7, "data_size": 316}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 8, "data_size": 313}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 9, "data_size": 303}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 10, "data_size": 285}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 11, "data_size": 306}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 12, "data_size": 284}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 13, "data_size": 293}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 14, "data_size": 297}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 15, "data_size": 307}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 16, "data_size": 291}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 17, "data_size": 312}
[2023-12-01 18:06:30,315][root][INFO] - data_check - {"label_num": 18, "data_size": 320}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 19, "data_size": 301}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 20, "data_size": 306}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 21, "data_size": 300}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 22, "data_size": 287}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 23, "data_size": 289}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 24, "data_size": 288}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 25, "data_size": 303}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 26, "data_size": 293}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 27, "data_size": 314}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 28, "data_size": 311}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 29, "data_size": 300}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 30, "data_size": 309}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 31, "data_size": 299}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 32, "data_size": 298}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 33, "data_size": 295}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 34, "data_size": 304}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 35, "data_size": 307}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 36, "data_size": 305}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 37, "data_size": 311}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 38, "data_size": 302}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 39, "data_size": 285}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 40, "data_size": 291}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 41, "data_size": 301}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 42, "data_size": 312}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 43, "data_size": 302}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 44, "data_size": 300}
[2023-12-01 18:06:30,316][root][INFO] - data_check - {"label_num": 45, "data_size": 304}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 46, "data_size": 304}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 47, "data_size": 291}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 48, "data_size": 310}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 49, "data_size": 304}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 50, "data_size": 298}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 51, "data_size": 302}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 52, "data_size": 323}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 53, "data_size": 292}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 54, "data_size": 295}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 55, "data_size": 303}
